"","cluster","text","genre"
"1","2109344","ONLY MEIHUINK CIIKST.
DIIRIOI-IIC, MOXTA.I.IX'C lO, I-Sj.
I have been uslut; IIiiAxrwxTii h t'ata ter tbe
last thirteen years, and though 1 liae li.ul nine
chlldien, I have nucr had a doctor In the
boiie, except thrtsi lluien, when r bad an epi_
demic of scarlet lever, v, bleb no seen banished
by a vigorous me. of UiuscDnn a Pills. I litve
lined thorn ferinynelf, two or thiee n night for a
inentb, for liver ceuiplalnt, dynpcpslMind con.
rllpatlen. In dlarrhir.i, cntmps, nlnd colic. InInIn_
dlgollen, nne ortellr.Asprnii I'iliji nied tl.e
children at ence. A box of Pills Is all the un dldldl_
olne chesl we reijulre In tbe home. We ute
them fei rheumatlam, colds, calairli.bllleiiinesH
and Impure, bleed. Tliey nover hat e failed te
cum all the above complaints In a very (ew
days. WILLIAM i. MILLKlt","advertisement"
"2","768532","A CASE OF NERVOUS PROSTRA_
TION RESULTING FROM
INDIGESTION.
it
They say that misery loves company, and they have
1had it so often It has passed into a proverb. Yet it
ht isn't an all-round truth. Some kinds of misery detest
it company. They want to be left alone. They hate to
'0 be elbowed and questioned and talked to. A wounded
F dog will always crawl Into some retired place by itself.
is The instinct of badly injured men, after a battle, is
y the same. Aliments that are nowsty fancy, tend to set
k tongues wagging. But real, genuine, and dangerous
n diseases don't incite to speech. Crises which are big
e with fate usually come and go in quiet.
Y That is why Mrs. Scuffham had no desire for the
Is sooiety of even her best friends at a certain time she is
a going to tell us about.
pe ,Up to April, 1881,"" she writes, ""I never knew
'e
what it was to be ill. At that time I began to feel
'n that something was amiss with me. I had no relish
tfor my meals, and after eating my chest felt heavy and
painful, and my heart would beat and thump as though
)r it meant to leap oat of its place. Presently I became
lo so swollen round the waist that I was obliged to unloose
~1 1
my clothing, as I couid not bear anything to touch
r that part of my body,
h E Even the lightest food gave me pain; a little fish
It setting my heart to beating at a great rate. My feet
r were cold, and cold claimmy sweats would break out
m. all over me, leaving mb exhausted and worn out. At
's night I got no sleep to speak of, and in the morning I
it felt worse tired than when I went to bed. I also
Is suffered a great deal from my feet being puffed up and
sore. I could scarcely get about the house. When I
ts went shopping I had to ride to the town and back as I
it could only walk a few yards.
al 'As time went on I lust my flesh and strength more
ly and more, and gave up hope of ever recovering the
1Y precious health I had so sadly lost. I took medicines,
Io and consulted a clever doctor at Derby, who examined
to
In me and said my heart was weak. He also gave me
a_ medicines, but I got only temporary ease from them,
I andin a short time was as bad as before. All this time
is I was so nervous and depressed that 1 had no desire
a_ for company. Onthe contrary, I seemed to want to be
alone with my misery. Even a knock at the door
te frightened me, as though I expected bad news, yet I
rs
jedid not ready. My nerves and my fancies ran away
in with my knowledge and judgment. Thousands of
In women who have suffered in this way will understand
is what I mean.
Is
n; Year after year I remained in this condition, and
re what I went through I cannot put in words, nor do I
r, wish to try. It will answer the purpose to say that 1
Ie existed thus for eleven and a half years, as much dead
as alive. I spent pounds on pounds in physic,
but was not a whit the better for any of it.
""' In October, 1892, a book was left at our house, and
e_ I read in it of cases like mine being cured by Mother
ae Seigel's Syrup. I got a bottle from Mr. Bardill, the
d. chemist, in Normanton Road, Derby, and when I had
3l taken this medicine for a few days, my appetite was
rs
ie better and I had less pain. I kept on taking it, and
d. soon my food agreed with me and I gained strength.
of ""After this I never looked behind me, but steadily
got stronger and stronger. When I had taken three
1, bottles I was quite like a new woman. All the
Ld nervousness had left me, and my heart was sound as a
x. bell. Since then I have enjoyed good health, and all
wf who knew me say my recovery is remarkable. I am
s. confident that Mother Seigel's Syrup was the means,
e_ in the hands of Providence, of saving my life; and
e out of gratitude, and in hope of doing good, I freely
In consent to the publication of this statement. (Signed)
it (Mrs.) Ann Scuff lam, Cooper's Lane, Laceby, Grimsby,
It May 1st, 1895.""
Ss This letter is endorsed by Mr. William J. Tollerton,
d of the same town, who vouches for the truth of what
s. Mrs. Scuff ham has said, as he personally knew of the
It circumstances of her illness at the time they occurred.
No comment can add a jot to the force of this open,
ie candid, and sincere communication. Whosoever reads
of
it must needs be moved and convinced by it. The
i_ disease which filled this woman's life with pain and
it misery for nearly twelve years was indigestion or
r. dyspepsia, an ailment sly and cunning as a snake in
r, the grass-and es dangerous. Send for the book of
d which Mrs. Scufiham speaks and road the symptoms
d in order that you may know what it is, and how to l
.h deal with it. The book costs you nothing, yet it would
:h be worth baiting as if every leaf were hammered gold.
h _
.n A MILLIONAlRE","advertisement"
"3","5019799","in the severest form. Eight bot_
tles of Swift's Specific made an effeci_
nal cure.
Frank Gilcher.
BLOOD POISON.
Hornellsville, N. Y.: Three years
suffered with this horrible disea
Swift's Specific cured me complete
J. H. Brown e,:
New York, 234 East 32d stre
Swift's Specific cured me of a fea
case of blood poison.
Prof. Edwin
Soldier's Home, Richmond, Va.:
Swift's Specific cured me of second_
ary blood poisoning.
B. F. Whitfield, M. D.
Brooklyn, N. Y.: I was a perfect
wreck from blood poison. Swift's Spe.
cific restored hope and health and I
am well today. D.
W. K. Briggs.
New York, 150 West stret :I suffer.
ed two years from blood poison.
Swift's Specific cured me.
C. Van.Housten.
Opelika, Ala.: I hane suffered with
this terrible disease from a young
man. Am now 68 years old. IHave
been cured by Swift's Specific and
feel like a new man now.
Ba . H. Kieser.
Savannah, Ga.: I have tuffered a
long time with blood poison. I tried
Swift's Specific and I am now a
perfectly well man.
C . v. Langhili","advertisement"
"4","265321","Mm Darts Triplets.
president Cleveland's Prixe for the three beat babies
at the Aurora County fair, la 1887. waa given to these
triplets? Mollie, Ida, aad Ray?children of Mra. A K
Bart, Hamburgh. R. 1. 8b? writes-. ""Laat August the
little ones became very sick, and as I could aet no
other food that would agrae with them. I commenced
the aae of Lactated Food. It heltwd them Immedi_
ately. aad they ware soon aa waU aa ever, and 1 con_
sider it very largely doe to the Food that they are now
so well**
Cb&taatf pAote. <4 thrf fnpUtu aent frm* Co (V atother of
any baby burn (An >cur.
LACTATED FOOD
la the beat food for botUe-fed babies. It keeps them
weu. and la batter than medicine when they ars aick.
TH* MOST PALATABLE.
NUTRITIOUS. AND
DIOESTIBLK FOOD.
EASILY PREPARED.
At Draggista. B5c..S0e.. $100.
The beet and moat economical food.
150 seals tor an infant for SLUU.
A valuable pamphlet on ""The Nutrition ot In_
fanta and lavalida"" free on applicalioa.
? WELLS. RICHARDSON * CO., Burlington. Vt","advertisement"
"5","1636023","4000,
Copyright, 1839.
ITIAHEL'S GRANttlTIA.
""Tho world la oven na wo toko It,
And lire, near cnii.i, u wuat wo maico u.
This wiui tho sentiment of on old lady to
her Kriindclilld Mabel. And many a Mabel
hen found It tn be true, and aha haa tnkca
care of her health. She keeps on hand a sup
ply or nr. Heree s l-avoruo rrescn prion, ana
so Is not troubled with those, wasting diseases,
weaknesses, ""drairglnR-down"" sensations and
functional irregularities mat so many women
endure. It Is tho only medicine for women.
m l bv drucirlsts. under a powuvo cuar.
nutco from tho manufacturers, that H will
dvn nntUfiletlnn In every riiao. or money Will
be refunded. This guarantee has been printed
on the bottle-wrappers, and faithfully carried
out for many years.
Favorite rreecrlot on la a iCKitimntn mro-
IMnjLtuit a Itcvcratif. Contaln9 no alcohol to
inenriato; no syrup or suvar to ncranica uikw.
tlon. As fw culiar In Its remedial results as In
Its composition.
As a powerful, InrlRoratlng tonic. It Impart
strength to tho whole system, particularly to
tho womb and its appendages. For fceblo
women generally, nr. I'lercos ravonie rre-
eprlntlnn Is tiin ffrpfttrst earthly boon: bcimr
unequalcd as an appetizing cordial and ro_
ctomtlvo tonic, or strength-giver.
A isooic oi luu pages, on noman ana tier
Diseases, their Nature, and How to Cure
tbem,"" sent seoleU, In plnln envelope, on re-
rlnt nf 1n nml in Atnmnn.
Address. World's DtsrENSAnv Medicai,
Association, No. GG3 Main bt., uutialo, ft. 1.
DR. PIERCE'S PELLETS
Laxative, or Cathartic, according to size of
doso. By drugglata. Si cents a viol.
THE","advertisement"
"6","1696237","Gained 22 Pounds in 5 Weeks.
From the By-Stander, Maacomb, III. -
Alderman Louis W. Camp, of our city, his
quite. astonished his friends of late, by a.re_
markable gain in weight.' He has ained 22
pounds in five weeks. Those of his frends
who do not know the facts of his sickness
will read with interest the following:
""I was broken down in health and utterly
iniserable,"" said Mr. Camp to our reporter.
""I was unable to work much of the time arid
.so badly afflicted with a form of stomach
trouble that life was a veritable nightmare.
""I tried various remedies, but during the
six months of my sickness .I obtained no re_
lief. rI had always been a robust, healthy
man and sickness bore heavily upon me.
""About two years ago I was advised to try
Dr. Williams' Pink Pills for Pale People. I
purchased one box and received so much bene_
fit that I used five. more and was entirely
cured. I. gained twenty-two pounds in flir
weeks. Since I stopped taking the pills I
have. scarcely had an ache or pain.
Intervic wing the Alderman.
""Dr. Williams' Pink Pills restored me to
health and I most heartily recommend them.""
L. W. Camp on oath says that the fore'
going statement is true.
W. W. MELOAN, Notary Public.
Following is the physician's certificate. at
to Mr. Camp's present condition.
I am a regularly licensed physician of
Macombh McDonough County, Ill. I have
very recently examined Mr. L. W. Camp as
to his general physical 'condition, and find
the"" same to be all that could be desired, ap_
petite and digestion good, sleeps well, and
has all the evidences of being in a good
physical condition.
SAM'L RUSSELL, M. D,
Subscribed and sworn, to before me thil
30th day of. September, 1897.
W. W. MELOAN. Nptary Publio","advertisement"
"7","3279931","immediately.
jt
jj-j?0CCUFAT10?ALAlLMtNT8.
Kreeb, pore air is a ritalix'ng elixir. Whoever is
del arred by circumstances irom unrestricted access
to ibis invisible bat powerful stimulant need* a
-nedkiaal invi|arant of some kind. The great object
should b? to choree the best. Popularity is a
i<retty good guarantee of merit in this scrutinizing
ami Intelligent ag?. and tried by this criterion Hot
tetter's Stomach Bitters stands flrst among the in
< igoraling and regulating medicines of the present
?Iay To the wants of persons engaged in indoor employments,
especially in crowded factories where
?ven wltli the best possible ventilation the atinos
rbore is always in some degree polluted, this salu
tirious vegetable tonic is peculiarly adapted. The
natur- of the ingredients no mystery. It consists
of an absolutely pure diffuxive stimulant, tinctured
tor rather surcharged) with the fluid extracts of sana;
.ns roots an! barks and herbs. The ihanaaro_
j.eia kM it* tincture*, but vim an<thoy t The juice
of > nly k iin(!t iv>t or bark or plant is prapert ii
rath. Not .>ne of theni combines the three properties
of s tou!c,u nlMratiw.uii u speris*t. All
these eietu-nts anf blended in the Bitters; nor are
the- e th* ?? ? of its Med.cinal rtcosimwUltllsi. It
is air? a blood ifepnrent ami an antispasmodic.
The bcle'nl effect which air that has bee* partially
eiiu-i vxi of its oxygen by frequent breathing produce*
oa the vital organization. Is astorioas, and
m lien to this devitalised still (levhors in superadded
the tu?-i?l>itic vapor of hot air furnaces, it becoases
deleters nn at?l iiepit*uii| in th? extreme. To sasbieth*
system to bear np, even for a few hoars each
riar sraii.?t the debiiitatiug iafliK'DCS of a vitiated
aim.sphere. ? tonic ?n<l altrretW* l?
< rp<*titlr n <i?iir?d. Thi? (nnil dMi<l<-ratum in np
plicit in Hwrtrttw * Bittr*. which *trrnfth?Oltmiuin*.h?-?llh
*r?>?*rtin* mg. nt hu no ritral either
among ' ??inal or *d?crtiaed idinImdh. f MsoAW","advertisement"
"8","1020866","Be Careful with that Lamp I
I sinerelv hlipe that. Mrs. Filmer hasi
abandoned the ouptom of k6eping an oil lam p
burning in her room of night. Shie does not
say what the necesslty was, but I trust it no
longer exists. If possible to avoid it, no
light should burn in a room wherein
people are sleeping. The reasons ought to be
plain enough. yet we all need lessons in
common caution. This lady had bers, and
was fortunate in coming out of tbe affair as
wvell as she did,
Writing about it she Says: "" It was in the
summer of 1886, not long after the derth of
my husband. I had been used to keepingan
oil lamp burning in my room for convenience
during the night. One night I accidentally
overturned the lamp, and a blaze kindled in
an instant: Terrified half out of my wits I
suraug from her], seized the burning articles
and ran downstairs with them just in time
to prevent further disaster. Happily for me
I escaped 'wlth slight burns, but not from
consequences of ancther kind.
"" The fright and shook quite prostrated me.
Do what I would, after the danger was all
over, I was unable to banish the subject from
my thoughts. My nerves seemed completely
unhinged, and I rapidly grew feeble, excitable,
and debilitated, My appetite failed, and I
l bad no relish foV rny ordinary fool. There
was a had_ taste in my mouth, headache,
distress af ber eatingloss of flesh and ambition,
with a disposition to worry and fret over
things whicb, when I was well, bad no
influenca with me whatever. I sought io
build up my strength with beef tea and other
nutritious and digestible formns of diet. with_
out success.
""The doctors whom I consulted said I was
suffering from nervous debility and weakness,
They gave me prescriptions, which the
cherniet made up for me; but they had no
effect, and what I suffered I have n's words to
tell you. My health appeared to have been
all broken up suddenly, as a r-silway talun
goes to pieces in a collision. Month After [
month I struggled with this strange ailment, !
but could find no remedy to relieve me. Not
until January, 1887, did I see my way out of
the trouble which followed my adventure of
that fea_ ful night.
""At that time (January, 1887) 1 chareed
to oome uaon a little beolc about Motber
Seigel'e Syrup, as a cure for indigestion &ad
